id,respondent_id,study_id,question_id,response
1,1,101,Q1,3
2,1,101,Q2,1
3,1,101,Q3_1,0
4,1,101,Q3_2,1
5,1,101,Q3_3,0
6,1,101,Q3_4,0
7,1,101,Q3_5,1
8,1,101,Q3_6,0
9,1,101,Q4,1
10,1,101,Q5,2
11,2,101,Q1,3
12,2,101,Q2,4
13,2,101,Q3_1,1
14,2,101,Q3_2,1
15,2,101,Q3_3,0
16,2,101,Q3_4,0
17,2,101,Q3_5,0
18,2,101,Q3_6,0
19,2,101,Q4,0
20,2,101,Q5,1
21,3,101,Q1,5
22,3,101,Q2,2
23,3,101,Q3_1,0
24,3,101,Q3_2,1
25,3,101,Q3_3,0
26,3,101,Q3_4,0
27,3,101,Q3_5,0
28,3,101,Q3_6,0
29,3,101,Q4,0
30,3,101,Q5,2
31,4,101,Q1,3
32,4,101,Q2,5
33,4,101,Q3_1,0
34,4,101,Q3_2,0
35,4,101,Q3_3,0
36,4,101,Q3_4,0
37,4,101,Q3_5,0
38,4,101,Q3_6,1
39,4,101,Q4,0
40,4,101,Q5,1
41,5,101,Q1,5
42,5,101,Q2,1
43,5,101,Q3_1,0
44,5,101,Q3_2,0
45,5,101,Q3_3,1
46,5,101,Q3_4,1
47,5,101,Q3_5,1
48,5,101,Q3_6,0
49,5,101,Q4,1
50,5,101,Q5,1
51,6,101,Q1,2
52,6,101,Q2,4
53,6,101,Q3_1,1
54,6,101,Q3_2,0
55,6,101,Q3_3,0
56,6,101,Q3_4,0
57,6,101,Q3_5,1
58,6,101,Q3_6,0
59,6,101,Q4,1
60,6,101,Q5,1
61,7,101,Q1,2
62,7,101,Q2,6
63,7,101,Q3_1,0
64,7,101,Q3_2,0
65,7,101,Q3_3,1
66,7,101,Q3_4,0
67,7,101,Q3_5,0
68,7,101,Q3_6,0
69,7,101,Q4,1
70,7,101,Q5,1
71,8,101,Q1,3
72,8,101,Q2,3
73,8,101,Q3_1,0
74,8,101,Q3_2,0
75,8,101,Q3_3,0
76,8,101,Q3_4,1
77,8,101,Q3_5,0
78,8,101,Q3_6,0
79,8,101,Q4,1
80,8,101,Q5,1
81,9,101,Q1,1
82,9,101,Q2,5
83,9,101,Q3_1,1
84,9,101,Q3_2,0
85,9,101,Q3_3,1
86,9,101,Q3_4,0
87,9,101,Q3_5,0
88,9,101,Q3_6,0
89,9,101,Q4,1
90,9,101,Q5,1
91,10,101,Q1,1
92,10,101,Q2,2
93,10,101,Q3_1,1
94,10,101,Q3_2,1
95,10,101,Q3_3,0
96,10,101,Q3_4,0
97,10,101,Q3_5,0
98,10,101,Q3_6,0
99,10,101,Q4,0
100,10,101,Q5,1
